GeneID,Symbol
1255,CNA1
CNC2
1259,CNGA1
1260,CNGA2
1261,CNGA3
1258,CNGB1
1262,CNGA4
54714,CNGB3
1263,PLK3
1264,CNN1
1265,CNN2
1266,CNN3
1267,CNP
1268,CNR1
1269,CNR2
26307,PCDHA14
1270,CNTF
1271,CNTFR
1272,CNTN1
6900,CNTN2
5067,CNTN3
152330,CNTN4
53942,CNTN5
27255,CNTN6
1690,COCH
COD2
157680,VPS13B
8161,COIL
1300,COL10A1
1301,COL11A1
1302,COL11A2
1303,COL12A1
1305,COL13A1
7373,COL14A1
1306,COL15A1
1307,COL16A1
1308,COL17A1
80781,COL18A1
1310,COL19A1
1277,COL1A1
1278,COL1A2
1279,COL1AR
1280,COL2A1
1281,COL3A1
1282,COL4A1
1284,COL4A2
1285,COL4A3
10087,COL4A3BP
1286,COL4A4
1287,COL4A5
1288,COL4A6
1289,COL5A1
1290,COL5A2
1291,COL6A1
1292,COL6A2
1293,COL6A3
1294,COL7A1
1295,COL8A1
1296,COL8A2
1297,COL9A1
1298,COL9A2
1299,COL9A3
10584,COLEC10
50639,MBL3P
